match_id,minute,value
25-26-champions-league-liverpool-vs-inter,66,-28
25-26-champions-league-liverpool-vs-inter,67,-16
25-26-champions-league-liverpool-vs-inter,68,-30
25-26-champions-league-liverpool-vs-inter,69,36
25-26-champions-league-liverpool-vs-inter,70,13
25-26-champions-league-liverpool-vs-inter,71,52
25-26-champions-league-liverpool-vs-inter,72,25
25-26-champions-league-liverpool-vs-inter,73,18
25-26-champions-league-liverpool-vs-inter,74,8
25-26-champions-league-liverpool-vs-inter,75,8
25-26-champions-league-liverpool-vs-inter,76,4
25-26-champions-league-liverpool-vs-inter,77,-8
25-26-champions-league-liverpool-vs-inter,78,-4
25-26-champions-league-liverpool-vs-inter,79,18
25-26-champions-league-liverpool-vs-inter,80,-12
25-26-champions-league-liverpool-vs-inter,81,-6
25-26-champions-league-liverpool-vs-inter,82,55
25-26-champions-league-liverpool-vs-inter,83,51
25-26-champions-league-liverpool-vs-inter,84,27
25-26-champions-league-liverpool-vs-inter,85,50
25-26-champions-league-liverpool-vs-inter,86,27
25-26-champions-league-liverpool-vs-inter,87,13
25-26-champions-league-liverpool-vs-inter,88,28
25-26-champions-league-liverpool-vs-inter,89,14
25-26-champions-league-liverpool-vs-inter,90,2
25-26-champions-league-liverpool-vs-inter,90.5,-22
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,1,7
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,2,13
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,3,13
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,4,13
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,5,13
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,6,58
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,7,24
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,8,18
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,9,11
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,10,3
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,11,-8
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,12,-62
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,13,-35
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,14,-35
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,15,-13
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,16,48
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,17,9
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,18,10
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,19,2
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,20,-6
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,21,-17
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,22,-14
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,23,-10
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,24,-28
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,25,-18
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,26,23
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,27,17
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,28,23
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,29,11
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,30,4
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,31,19
25-26-champions-league-newcastle-united-vs-bayer-leverkusen,32,13
